latitude,longitude,weight,type
42.00892,-87.7801,1514,trauma
41.77892,-87.7751,1201,trauma
41.78392,-87.7751,1112,trauma
41.78892,-87.7751,1029,trauma
41.79392,-87.7751,942,trauma
41.79892,-87.7751,910,trauma
41.89392,-87.7751,702,trauma
41.89892,-87.7751,762,trauma
41.90392,-87.7751,849,trauma
41.90892,-87.7751,900,trauma
41.91392,-87.7751,938,trauma
41.91892,-87.7751,1034,trauma
41.92392,-87.7751,1058,trauma
41.92892,-87.7751,1134,trauma
41.93392,-87.7751,1215,trauma
41.93892,-87.7751,1268,trauma
41.94392,-87.7751,1345,trauma
41.94892,-87.7751,1281,trauma
41.95392,-87.7751,1265,trauma
41.95892,-87.7751,1240,trauma
41.96392,-87.7751,1226,trauma
41.96892,-87.7751,1195,trauma
41.97392,-87.7751,1146,trauma
41.97892,-87.7751,1181,trauma
41.98392,-87.7751,1299,trauma
41.98892,-87.7751,1323,trauma
41.99392,-87.7751,1405,trauma
41.99892,-87.7751,1276,trauma
42.00392,-87.7751,1429,trauma
42.00892,-87.7751,1464,trauma
41.77892,-87.7701,1111,trauma
41.78392,-87.7701,1096,trauma
41.78892,-87.7701,1018,trauma
41.79392,-87.7701,931,trauma
41.79892,-87.7701,871,trauma
41.86892,-87.7701,505,trauma
41.87392,-87.7701,557,trauma
41.87892,-87.7701,574,trauma
41.88392,-87.7701,676,trauma
41.88892,-87.7701,744,trauma
41.89392,-87.7701,759,trauma
41.89892,-87.7701,900,trauma
41.90392,-87.7701,905,trauma
41.90892,-87.7701,945,trauma
41.91392,-87.7701,1006,trauma
41.91892,-87.7701,1068,trauma
41.92392,-87.7701,1060,trauma
41.92892,-87.7701,1152,trauma
41.93392,-87.7701,1236,trauma
41.93892,-87.7701,1249,trauma
41.94392,-87.7701,1334,trauma
41.94892,-87.7701,1236,trauma
41.95392,-87.7701,1224,trauma
41.95892,-87.7701,1229,trauma
41.96392,-87.7701,1167,trauma
41.96892,-87.7701,1157,trauma
41.97392,-87.7701,1145,trauma
41.97892,-87.7701,1199,trauma
41.98392,-87.7701,1221,trauma
41.98892,-87.7701,1282,trauma
41.99392,-87.7701,1307,trauma
41.99892,-87.7701,1270,trauma
42.00392,-87.7701,1364,trauma
41.77892,-87.7651,1076,trauma
41.78392,-87.7651,1015,trauma
41.78892,-87.7651,1000,trauma
41.79392,-87.7651,915,trauma
41.79892,-87.7651,830,trauma
41.86892,-87.7651,506,trauma
41.87392,-87.7651,434,trauma
41.87892,-87.7651,508,trauma
41.88392,-87.7651,572,trauma
41.88892,-87.7651,629,trauma
41.89392,-87.7651,683,trauma
41.89892,-87.7651,778,trauma
41.90392,-87.7651,836,trauma
41.90892,-87.7651,876,trauma
41.91392,-87.7651,970,trauma
41.91892,-87.7651,973,trauma
41.92392,-87.7651,1156,trauma
41.92892,-87.7651,1135,trauma
41.93392,-87.7651,1217,trauma
41.93892,-87.7651,1227,trauma
41.94392,-87.7651,1294,trauma
41.94892,-87.7651,1177,trauma
41.95392,-87.7651,1092,trauma
41.95892,-87.7651,1149,trauma
41.96392,-87.7651,1142,trauma
41.96892,-87.7651,1118,trauma
41.97392,-87.7651,1159,trauma
41.97892,-87.7651,1217,trauma
41.98392,-87.7651,1196,trauma
41.98892,-87.7651,1294,trauma
41.99392,-87.7651,1214,trauma
41.99892,-87.7651,1263,trauma
42.00392,-87.7651,1352,trauma
41.77892,-87.7601,1067,trauma
41.78392,-87.7601,998,trauma
41.78892,-87.7601,998,trauma
41.79392,-87.7601,887,trauma
41.79892,-87.7601,837,trauma
41.86892,-87.7601,438,trauma
41.87392,-87.7601,525,trauma
41.87892,-87.7601,620,trauma
41.88392,-87.7601,655,trauma
41.88892,-87.7601,707,trauma
41.89392,-87.7601,794,trauma
41.89892,-87.7601,829,trauma
41.90392,-87.7601,909,trauma
41.90892,-87.7601,964,trauma
41.91392,-87.7601,1043,trauma
41.91892,-87.7601,1072,trauma
41.92392,-87.7601,1112,trauma
41.92892,-87.7601,1178,trauma
41.93392,-87.7601,1268,trauma
41.93892,-87.7601,1199,trauma
41.94392,-87.7601,1253,trauma
41.94892,-87.7601,1165,trauma
41.95392,-87.7601,1120,trauma
41.95892,-87.7601,1096,trauma
41.96392,-87.7601,1126,trauma
41.96892,-87.7601,1018,trauma
41.97392,-87.7601,1138,trauma
41.97892,-87.7601,1149,trauma
41.98392,-87.7601,1337,trauma
41.98892,-87.7601,1180,trauma
41.99392,-87.7601,1184,trauma
41.99892,-87.7601,1274,trauma
41.77892,-87.7551,1107,trauma
41.78392,-87.7551,1000,trauma
41.78892,-87.7551,1007,trauma
41.79392,-87.7551,960,trauma
41.79892,-87.7551,921,trauma
41.86892,-87.7551,368,trauma
41.87392,-87.7551,558,trauma
41.87892,-87.7551,539,trauma
41.88392,-87.7551,585,trauma
41.88892,-87.7551,633,trauma
41.89392,-87.7551,740,trauma
41.89892,-87.7551,798,trauma
41.90392,-87.7551,870,trauma
