Name,Address,Date,Time,Neighborhood,Age,Gender,Race,Latitude,Longitude
430,"1000 S. Austin Blvd., Chicago, IL",12/9/2012,11:48 p.m.,Austin,32,Male,White,41.867778,-87.774576
431,"2400 W. Flournoy St., Chicago, IL",12/16/2012,3:19 a.m.,Near West Side,28,Male,Black,41.8731739,-87.6864027
432,"5800 W. Superior St., Chicago, IL",12/17/2012,10:35 p.m.,Austin,38,Male,Black,41.8938573,-87.7701056
433,"4800 W. Quincy St., Chicago, IL",12/20/2012,8:12 p.m.,Austin,15,Male,Black,41.8776993,-87.7452094
434,"2700 E. 84th St., Chicago, IL",12/22/2012,6:35 p.m.,South Chicago,20,Male,Black,41.7427438,-87.5587931
435,"3300 W. Crystal St., Chicago, IL",12/23/2012,6:22 a.m.,Humboldt Park,26,Male,Black,41.903988,-87.709434
436,"3500 W. Lake St., Chicago, IL",12/23/2012,6:05 a.m.,East Garfield Park,35,Male,White,41.8849917,-87.7137177
437,"2000 W. 69th St., Chicago, IL",12/26/2012,12:30 a.m.,West Englewood,18,Male,Black,41.768704,-87.673792
438,"5400 S. California Ave., Chicago, IL",12/26/2012,9:56 p.m.,Gage Park,32,Male,White,41.795369,-87.694199
439,"4900 W. Augusta Blvd., Chicago, IL",12/28/2012,12:18 a.m.,Austin,40,Male,Black,41.898908,-87.74855
440,"500 E. 109th St., Chicago, IL",12/30/2012,11 a.m.,Roseland,19,Male,Black,41.6964028,-87.6110307
441,"5000 S. Indiana Ave., Chicago, IL",12/30/2012,5:10 p.m.,Grand Boulevard,28,Male,Black,41.8038273,-87.6210965
442,"3300 N. Keeler Ave., Chicago, IL",12/31/2012,12:16 a.m.,Irving Park,19,Male,White,41.9408525,-87.7320967
