latitude,longitude,weight,type
41.94392,-87.7751,1345,potential
41.94892,-87.7751,1281,potential
41.95392,-87.7751,1265,potential
41.95892,-87.7751,1240,potential
41.96392,-87.7751,1226,potential
41.96892,-87.7751,1195,potential
41.97392,-87.7751,1146,potential
41.97892,-87.7751,1181,potential
41.98392,-87.7751,1299,potential
41.98892,-87.7751,1323,potential
41.99392,-87.7751,1405,potential
41.99892,-87.7751,1276,potential
42.00392,-87.7751,1429,potential
42.00892,-87.7751,1464,potential
41.77892,-87.7701,1111,potential
41.78392,-87.7701,1096,potential
41.78892,-87.7701,1018,potential
41.79392,-87.7701,931,potential
41.79892,-87.7701,871,potential
41.86892,-87.7701,505,potential
41.87392,-87.7701,557,potential
41.87892,-87.7701,574,potential
41.88392,-87.7701,676,potential
41.88892,-87.7701,744,potential
41.89392,-87.7701,759,potential
41.89892,-87.7701,900,potential
41.90392,-87.7701,905,potential
41.90892,-87.7701,945,potential
41.91392,-87.7701,1006,potential
41.91892,-87.7701,1068,potential
41.92392,-87.7701,1060,potential
41.92892,-87.7701,1152,potential
41.93392,-87.7701,1236,potential
41.93892,-87.7701,1249,potential
41.94392,-87.7701,1334,potential
41.94892,-87.7701,1236,potential
41.95392,-87.7701,1224,potential
41.95892,-87.7701,1229,potential
41.96392,-87.7701,1167,potential
41.96892,-87.7701,1157,potential
41.97392,-87.7701,1145,potential
41.97892,-87.7701,1199,potential
41.98392,-87.7701,1221,potential
41.98892,-87.7701,1282,potential
41.99392,-87.7701,1307,potential
41.99892,-87.7701,1270,potential
42.00392,-87.7701,1364,potential
41.77892,-87.7651,1076,potential
41.78392,-87.7651,1015,potential
41.78892,-87.7651,1000,potential
41.79392,-87.7651,915,potential
41.79892,-87.7651,830,potential
41.86892,-87.7651,506,potential
41.87392,-87.7651,434,potential
41.87892,-87.7651,508,potential
41.88392,-87.7651,572,potential
41.88892,-87.7651,629,potential
41.89392,-87.7651,683,potential
41.89892,-87.7651,778,potential
41.90392,-87.7651,836,potential
41.90892,-87.7651,876,potential
41.91392,-87.7651,970,potential
41.91892,-87.7651,973,potential
41.92392,-87.7651,1156,potential
41.92892,-87.7651,1135,potential
41.93392,-87.7651,1217,potential
41.93892,-87.7651,1227,potential
41.94392,-87.7651,1294,potential
41.94892,-87.7651,1177,potential
41.95392,-87.7651,1092,potential
41.95892,-87.7651,1149,potential
41.96392,-87.7651,1142,potential
41.96892,-87.7651,1118,potential
41.97392,-87.7651,1159,potential
41.97892,-87.7651,1217,potential
41.98392,-87.7651,1196,potential
41.98892,-87.7651,1294,potential
41.99392,-87.7651,1214,potential
41.99892,-87.7651,1263,potential
42.00392,-87.7651,1352,potential
41.77892,-87.7601,1067,potential
41.78392,-87.7601,998,potential
41.78892,-87.7601,998,potential
41.79392,-87.7601,887,potential
41.79892,-87.7601,837,potential
41.86892,-87.7601,438,potential
41.87392,-87.7601,525,potential
41.87892,-87.7601,620,potential
41.88392,-87.7601,655,potential
41.88892,-87.7601,707,potential
41.89392,-87.7601,794,potential
41.89892,-87.7601,829,potential
41.90392,-87.7601,909,potential
41.90892,-87.7601,964,potential
41.91392,-87.7601,1043,potential
41.91892,-87.7601,1072,potential
